acousticness;danceability;energy;valence;tempo;loudness;speechiness;instrumentalness;track_popularity;is_hit
164;5,82E+15;8,49E+15;5,58E+15;147035;-6,243E+15;384;0,000288;;0
311;556;738;54;121805;-11817;559;0;;0
255;36;594;466;107528;-6898;312;0;;0
95;508;772;757;1,72073E+16;-5,168E+15;393;0;;0
522;557;792;374;94907;-3286;309;0,00348;620;1
845;596;721;3,39E+15;119969;-21009;175;0;;0
875;597;218;385;66033;-24629;427;923;0;0
5,49E+15;4;261;367;1219;-22555;11;27;;0
7,49E+15;206;176;3,28E+15;60404;-18175;339;557;;0
223;327;959;347;100399;-1929;597;747;;0
0,000262;148;948;172;1,38603E+16;-3119;874;799;;0
681;276;8,14E+15;472;144793;-5048;998;0;640;1
448;357;968;315;94736;-4685;108;28;0;0
122;5,53E+15;962;397;100945;-4202;623;0;250;0
137;242;313;696;71137;-21097;809;0,00269;;0
662;499;39;742;106478;-12548;275;0;110;0
134;45;826;56;1,47949E+16;-9798;105;5,77E+15;;0
79;1,69E+15;986;177;124912;-14035;217;8,39E+15;;0
432;4,92E+15;642;278;74997;-5027;241;0;0;0
962;1,01E+15;19;328;89809;-30803;443;873;;0
892;703;875;424;121529;-2,3328E+15;129;938;;0
286;594;7,66E+15;624;90027;-5,918E+16;444;0;;0
647;429;384;209;136048;-19868;345;92;;0
731;5,71E+15;31;61;125204;-9098;301;873;;0
928;245;146;366;61232;-29641;42;562;;0
292;677;634;7,66E+15;94027;-6977;237;0;;0
282;523;974;121;108997;-5,377E+15;104;434;;0
7,56E+13;4,48E+15;826;19;77093;-3244;319;0;690;1
504;741;778;7,71E+15;90157;-626;15;0,000137;;0
588;8,37E+15;626;5,92E+15;99987;-5674;152;0;700;1
261;302;313;114;81117;-12352;293;5,82E+15;;0
975;171;175;988;99387;-19459;341;948;;0
287;642;774;966;122188;-6023;354;805;0;0
961;218;126;123;8,5754E+15;-18795;358;867;;0
0,00113;402;958;6,56E+15;14558;-422;84;173;;0
99;423;2,69E+15;919;145161;-19994;502;941;;0
989;261;114;16;67191;-19317;441;999;0;0
301;513;6,76E+15;311;116592;-6148;309;0;630;1
0,00414;315;995;247;15074;-4276;1,01E+15;0,000121;130;0
855;4;114;221;8,9578E+15;-21313;761;0;30;0
188;606;466;726;71683;-8001;2,24E+15;0;;0
1,89E+15;358;772;456;112777;-6444;565;26;0;0
7,66E+15;24;598;7,76E+15;201629;-8435;369;0;890;1
933;271;256;1,67E+15;7,5489E+15;-14614;371;7,83E+15;0;0
838;28;34;208;8,4237E+15;-1,3234E+16;4;0;;0
956;16;213;387;100237;-27076;435;193;0;0
677;303;276;138;7564;-7,639E+16;833;0;;0
687;371;946;411;100872;-4625;121;665;;0
416;5,48E+15;677;6,83E+15;130524;-8,947E+15;48;0,000319;10;0
92;7,17E+15;52;35;1,40022E+16;-26169;773;931;;0
325;779;597;902;9601;-11717;342;894;;0
246;7,24E+15;7,14E+15;65;119162;-3776;1,16E+15;308;;0
7;5,67E+15;35;19;11897;-908;312;243;;0
498;736;795;511;104066;-3299;545;0,000121;720;1
715;565;7,34E+15;24;108014;-6763;367;815;0;0
146;346;878;634;202771;-5586;794;778;0;0
95;38;211;303;146901;-18293;388;8,76E+15;;0
196;326;171;317;81279;-18099;348;237;;0
376;5,49E+15;887;1,12E+15;176045;-3849;125;3,23E+15;;0
809;472;172;504;106875;-18132;449;0;;0
0,00303;364;972;144;117197;-6099;209;336;;0
104;588;67;505;118159;-6439;473;0,000333;740;1
77;435;6,68E+15;727;176388;-6948;111;883;;0
37;57;482;569;1,39949E+16;-11116;289;174;;0
979;212;127;366;103531;-2,3238E+16;433;961;;0
936;178;321;176;8,5563E+15;-1389;354;0,000306;;0
359;838;604;809;134923;-5996;299;0;;0
752;706;478;6,73E+15;120255;-10231;314;273;;0
182;272;966;12;8986;-4223;376;0;;0
0,000782;325;998;621;128761;-4,429E+15;17;334;;0
101;402;8,91E+15;158;114343;-1067;83;4;;0
929;303;146;192;94707;-15202;291;6,92E+15;;0
15;7,17E+15;952;665;126993;-4902;481;0;700;1
335;596;7,61E+15;6,97E+15;118402;-6596;595;0,00199;;0
403;389;574;385;120169;-7013;371;634;;0
953;414;214;225;77041;-20284;524;857;;0
645;6,66E+15;6,94E+15;392;100162;-7041;707;0,00452;;0
145;484;94;3,34E+15;173741;-3682;257;323;630;1
187;7;467;3,34E+15;109717;-11499;462;0;;0
271;519;7,49E+15;29;147905;-3318;405;0;780;1
5,53E+15;529;528;614;171079;-7,453E+16;666;0,00228;;0
57;479;5,49E+15;5,76E+15;180985;-1,0551E+16;373;239;750;1
909;395;3,43E+15;514;6,4379E+15;-10389;404;336;;0
