acousticness,danceability,energy,valence,tempo,loudness,speechiness,instrumentalness,track_popularity,is_hit
8.99e-06,0.516,0.923,0.948,91.516,-7.347,0.0313,0.0116,,0
0.0409999999999999,0.4320000000000001,0.7809999999999999,0.1969999999999999,139.43200000000002,-4.038,0.0567,4.21e-06,74.0,1
0.106,0.632,0.856,0.868,87.02799999999998,-5.5829999999999975,0.0881,0.00379,56.0,1
0.954,0.514,0.0736,0.298,79.135,-15.541,0.0412,7.2e-05,,0
0.0902,0.7979999999999999,0.6759999999999999,0.843,101.956,-5.041,0.0442,0.0,67.0,1
0.123,0.302,0.374,0.377,104.186,-12.919,0.0305,0.0101,0.0,0
0.0186,0.7190000000000001,0.634,0.591,110.597,-7.331,0.0255,0.0,56.0,1
0.897,0.36,0.0935,0.1669999999999999,149.305,-18.06,0.0327,0.295,,0
0.000674,0.251,0.954,0.264,191.05900000000003,-2.879,0.0691,0.000132,64.0,1
0.8340000000000001,0.7290000000000001,0.308,0.4320000000000001,109.557,-7.942,0.0329,0.0,4.0,0
0.466,0.7909999999999999,0.828,0.883,103.983,-6.908,0.0477,1.17e-05,62.0,1
0.617,0.243,0.31,0.415,113.725,-18.21,0.0359,0.244,2.0,0
0.00109,0.5770000000000001,0.631,0.434,135.982,-8.573,0.0259,1.4e-06,7.0,0
0.0335,0.623,0.8740000000000001,0.384,87.95,-5.063,0.238,0.0,,0
0.84,0.659,0.236,0.216,78.08800000000002,-12.56,0.0304,6.32e-05,60.0,1
0.96,0.61,0.385,0.126,108.968,-8.765,0.0277,0.442,52.0,1
0.918,0.446,0.4970000000000001,0.605,85.76100000000002,-11.478,0.0357,0.215,0.0,0
0.175,0.609,0.462,0.652,82.866,-12.666,0.264,0.0,,0
0.0298,0.615,0.66,0.185,115.037,-5.55,0.032,0.0,60.0,1
0.667,0.452,0.935,0.725,164.85,-1.644,0.0441,0.0,,0
0.0103,0.607,0.8290000000000001,0.685,96.172,-4.074,0.379,0.0,80.0,1
0.0376,0.634,0.6920000000000001,0.695,83.0,-6.046,0.0806,9.88e-05,,0
0.238,0.647,0.7490000000000001,0.8590000000000001,100.019,-8.967,0.0285,0.000131,,0
